,mac,vendor
3865,b0:4e:26:5e:ae:86,"TP-Link Tech Co, Ltd"
3866,80:d2:1d:80:3f:bd,AzureWave Tech Inc
3867,00:c8:8b:1a:55:e4,"Cisco Systems, Inc"
3868,00:c8:8b:9c:5f:04,"Cisco Systems, Inc"
3869,30:89:d3:c1:f7:80,Hongkong Ucloudlink Network Tech Ltd
3870,2c:ae:2b:ae:d8:65,"Samsung Electronics Co, Ltd"
3872,30:d6:c9:3b:31:b7,"Samsung Electronics Co, Ltd"
3874,00:1d:7e:bc:42:85,"Cisco-Linksys, Llc"
3875,18:31:bf:02:cd:90,ASUSTek Computer Inc
3876,30:b5:c2:96:59:49,"TP-Link Tech Co, Ltd"
3877,70:4f:57:8a:7e:b6,"TP-Link Tech Co, Ltd"
3880,94:46:96:2b:cf:19,BaudTec Corp
3881,94:46:96:2b:d0:e0,BaudTec Corp
3882,c8:d7:19:91:46:c7,"Cisco-Linksys, Llc"
3883,00:a0:57:17:a0:2a,Lancom Systems GmbH
3884,10:be:f5:d5:60:7c,D-Link International
3885,c4:a8:1d:83:4b:88,D-Link International
3886,00:1a:70:9f:dc:2a,"Cisco-Linksys, Llc"
3887,48:a1:95:e8:58:7c,"Apple, Inc"
3889,10:c3:7b:a4:03:d8,ASUSTek Computer Inc
3890,a0:d3:c1:a3:b8:50,Hewlett Packard
3891,a0:d3:c1:ac:18:30,Hewlett Packard
3892,00:06:25:ff:c6:c2,"The Linksys Group, Inc"
3896,00:19:cb:eb:4a:e0,Zyxel Communications Corp
3897,c4:6e:1f:40:82:d0,"TP-Link Tech Co, Ltd"
3898,e8:de:27:fb:ab:df,"TP-Link Tech Co, Ltd"
3899,00:a0:57:17:a0:2c,Lancom Systems GmbH
3900,ec:1a:59:88:09:7f,Belkin International Inc
3901,00:02:61:96:77:12,Tilgin AB
3902,c0:56:27:11:14:49,Belkin International Inc
3904,c0:56:27:11:14:4b,Belkin International Inc
3905,d4:d7:48:b0:08:44,"Cisco Systems, Inc"
3906,e8:04:62:60:5b:54,"Cisco Systems, Inc"
3907,b0:39:56:92:48:3c,Netgear
3908,d4:d7:48:45:fe:6b,"Cisco Systems, Inc"
3909,e8:04:62:61:42:f4,"Cisco Systems, Inc"
3910,18:a6:f7:3e:e4:0a,"TP-Link Tech Co, Ltd"
3911,d4:d7:48:b0:08:4b,"Cisco Systems, Inc"
3912,d4:d7:48:81:70:34,"Cisco Systems, Inc"
3913,00:0e:8e:3b:23:60,"SparkLAN Communications, Inc"
3914,00:0e:8e:3b:22:92,"SparkLAN Communications, Inc"
3915,d4:d7:48:45:f1:34,"Cisco Systems, Inc"
3916,d4:d7:48:45:f1:3b,"Cisco Systems, Inc"
3917,64:a0:e7:28:a3:5b,"Cisco Systems, Inc"
3918,00:1d:7e:30:24:41,"Cisco-Linksys, Llc"
3919,00:1d:7e:30:24:41,"Cisco-Linksys, Llc"
3920,64:d9:89:98:3d:64,"Cisco Systems, Inc"
3921,50:c7:bf:09:c9:77,"TP-Link Tech Co, Ltd"
3922,2c:36:f8:e8:73:e4,"Cisco Systems, Inc"
3923,d4:6e:0e:fd:6d:d8,"TP-Link Tech Co, Ltd"
3924,d4:d7:48:45:fe:6b,"Cisco Systems, Inc"
3925,d4:d7:48:b0:08:4b,"Cisco Systems, Inc"
3926,00:0e:8e:3b:22:92,"SparkLAN Communications, Inc"
3927,64:a0:e7:28:a3:5b,"Cisco Systems, Inc"
3928,80:ce:62:6e:2f:d8,Hewlett Packard
3929,90:4e:2b:5b:8c:8e,"Huawei Tech Co, Ltd"
3931,00:2a:10:13:71:54,"Cisco Systems, Inc"
3932,fc:5b:39:69:e2:04,"Cisco Systems, Inc"
3933,00:2a:10:f3:aa:2b,"Cisco Systems, Inc"
3934,00:2a:10:13:6f:c4,"Cisco Systems, Inc"
3935,84:3d:c6:06:1e:44,"Cisco Systems, Inc"
3936,00:2a:10:11:32:04,"Cisco Systems, Inc"
3937,84:3d:c6:0a:00:24,"Cisco Systems, Inc"
3938,00:2a:10:13:71:44,"Cisco Systems, Inc"
3939,30:b5:c2:22:b0:28,"TP-Link Tech Co, Ltd"
3940,28:28:5d:fc:20:60,Zyxel Communications Corp
3941,8c:a6:df:2f:54:b2,"TP-Link Tech Co, Ltd"
3942,00:16:fb:ba:95:a4,Shenzhen Mtc Co Ltd
3943,84:3d:c6:06:1d:b4,"Cisco Systems, Inc"
3944,90:4e:2b:5b:8c:8e,"Huawei Tech Co, Ltd"
3945,84:3d:c6:0a:1a:3b,"Cisco Systems, Inc"
3946,84:3d:c6:0a:1a:34,"Cisco Systems, Inc"
3947,e4:a7:c5:18:50:42,"Huawei Tech Co, Ltd"
3948,e4:a7:c5:18:50:44,"Huawei Tech Co, Ltd"
3950,ac:e2:d3:18:31:a6,Hewlett Packard
3951,b8:8d:12:62:e0:43,"Apple, Inc"
3952,50:46:5d:60:46:c0,ASUSTek Computer Inc
3953,00:2a:10:f3:b8:54,"Cisco Systems, Inc"
3954,58:ef:68:60:b6:19,Belkin International Inc
3955,74:44:01:4e:ce:92,Netgear
3956,00:62:ec:2d:d2:d5,"Cisco Systems, Inc"
3957,00:62:ec:2d:d2:d4,"Cisco Systems, Inc"
3958,00:62:ec:2d:d2:d7,"Cisco Systems, Inc"
3959,e0:3f:49:07:e8:78,ASUSTek Computer Inc
3960,10:62:eb:9c:6d:68,D-Link International
3961,a0:04:60:9f:c7:c0,Netgear
3962,00:62:ec:2d:d2:d2,"Cisco Systems, Inc"
3963,80:d0:9b:aa:40:c0,"Huawei Tech Co, Ltd"
3964,f4:30:b9:f3:b1:02,Hewlett Packard
3965,54:a0:50:e5:4a:21,ASUSTek Computer Inc
3966,10:7b:ef:ff:08:07,Zyxel Communications Corp
3967,74:da:da:fb:d0:b8,D-Link International
3968,00:62:ec:2d:d2:d0,"Cisco Systems, Inc"
3969,ac:e2:d3:18:31:a6,Hewlett Packard
3970,00:62:ec:2d:d2:d5,"Cisco Systems, Inc"
3971,00:62:ec:2d:d2:d4,"Cisco Systems, Inc"
3972,00:62:ec:2d:d2:d7,"Cisco Systems, Inc"
3973,00:62:ec:2d:d2:d0,"Cisco Systems, Inc"
3974,84:3d:c6:0a:1a:44,"Cisco Systems, Inc"
3975,00:62:ec:2d:d2:d8,"Cisco Systems, Inc"
3976,84:3d:c6:0a:1a:4b,"Cisco Systems, Inc"
3977,00:16:fb:ba:95:a4,Shenzhen Mtc Co Ltd
3978,8c:a6:df:2f:54:b2,"TP-Link Tech Co, Ltd"
3979,10:62:eb:9d:44:64,D-Link International
3981,28:28:5d:fc:20:60,Zyxel Communications Corp
3982,38:d5:47:1f:52:d8,ASUSTek Computer Inc
3983,54:a0:50:e5:4a:20,ASUSTek Computer Inc
3984,34:21:09:15:93:28,Jensen Scandinavia AS
3985,90:e6:ba:be:fd:db,ASUSTek Computer Inc
3986,28:28:5d:fc:20:60,Zyxel Communications Corp
3987,00:2a:10:f3:a6:34,"Cisco Systems, Inc"
3988,84:3d:c6:29:8a:14,"Cisco Systems, Inc"
3989,a0:63:91:fe:52:f4,Netgear
3990,30:b5:c2:22:b0:28,"TP-Link Tech Co, Ltd"
3991,50:6a:03:e1:ee:44,Netgear
3992,70:62:b8:6e:46:84,D-Link International
3993,00:16:fb:ba:95:a4,Shenzhen Mtc Co Ltd
3994,8c:a6:df:2f:54:b2,"TP-Link Tech Co, Ltd"
3995,28:28:5d:fc:20:60,Zyxel Communications Corp
3996,30:b5:c2:22:b0:28,"TP-Link Tech Co, Ltd"
3997,70:62:b8:6e:46:84,D-Link International
3998,c0:a0:bb:ee:30:d2,D-Link International
3999,a4:2b:8c:81:5d:70,Netgear
4000,64:66:b3:de:fb:18,"TP-Link Tech Co, Ltd"
4001,8c:a6:df:2f:54:b2,"TP-Link Tech Co, Ltd"
4002,28:28:5d:fc:20:60,Zyxel Communications Corp
4003,30:b5:c2:22:b0:28,"TP-Link Tech Co, Ltd"
4004,10:62:eb:9c:59:ac,D-Link International
4005,70:62:b8:6e:46:86,D-Link International
4006,00:19:70:50:18:91,"Z-Com, Inc"
4007,38:d5:47:1f:52:d8,ASUSTek Computer Inc
4008,30:b5:c2:d0:8b:e4,"TP-Link Tech Co, Ltd"
4009,48:f8:b3:26:e1:bb,"Cisco-Linksys, Llc"
4010,38:d5:47:1f:52:d8,ASUSTek Computer Inc
4011,48:f8:b3:26:e1:bb,"Cisco-Linksys, Llc"
4012,10:0d:7f:6d:c0:1c,Netgear
4013,dc:ef:09:a5:85:f2,Netgear
4014,d0:66:7b:9e:21:75,"Samsung Electronics Co, Ltd"
4015,9c:5c:8e:8d:ed:d0,ASUSTek Computer Inc
4016,64:66:b3:de:fb:18,"TP-Link Tech Co, Ltd"
4017,f8:32:e4:99:93:74,ASUSTek Computer Inc
4018,84:16:f9:29:c1:4e,"TP-Link Tech Co, Ltd"
4019,20:dc:e6:68:2f:b4,"TP-Link Tech Co, Ltd"
4021,e4:a7:c5:18:50:42,"Huawei Tech Co, Ltd"
4023,64:66:b3:de:fb:18,"TP-Link Tech Co, Ltd"
4024,84:16:f9:29:c1:4e,"TP-Link Tech Co, Ltd"
4026,14:a5:1a:d9:43:c4,"Huawei Tech Co, Ltd"
4027,30:b5:c2:d0:8b:e4,"TP-Link Tech Co, Ltd"
4028,38:2c:4a:a4:a4:58,ASUSTek Computer Inc
4029,f0:99:bf:05:62:f3,"Apple, Inc"
4030,20:4e:7f:8e:2d:66,Netgear
4031,f0:99:bf:05:62:f2,"Apple, Inc"
4032,18:31:bf:bf:3e:68,ASUSTek Computer Inc
4033,a4:2b:8c:f4:d0:50,Netgear
4034,94:46:96:2b:75:62,BaudTec Corp
4035,a0:63:91:bd:ef:0c,Netgear
4037,10:62:eb:9c:6d:68,D-Link International
4038,70:8b:cd:c6:36:70,ASUSTek Computer Inc
4039,20:4e:7f:73:e8:40,Netgear
4040,dc:ef:09:01:06:d8,Netgear
4041,00:26:f2:ea:bc:ee,Netgear
4042,50:67:f0:32:16:64,Zyxel Communications Corp
4044,f0:99:bf:05:62:f2,"Apple, Inc"
4046,10:62:eb:9c:6d:68,D-Link International
4047,00:18:e7:f9:3d:36,"Cameo Communications, Inc"
4048,a0:63:91:05:c4:10,Netgear
4049,c4:6e:1f:8c:bf:64,"TP-Link Tech Co, Ltd"
4050,98:de:d0:f3:7a:cf,"TP-Link Tech Co, Ltd"
4051,58:8b:f3:91:e9:fb,Zyxel Communications Corp
4053,8c:3b:ad:13:a5:fb,Netgear
4054,60:45:cb:8c:d3:c0,ASUSTek Computer Inc
4055,ac:e2:d3:18:31:a6,Hewlett Packard
4056,dc:ef:09:a5:7d:91,Netgear
4057,00:18:39:d3:ce:52,"Cisco-Linksys, Llc"
4061,30:b5:c2:d0:8b:e4,"TP-Link Tech Co, Ltd"
4062,20:4e:7f:8e:2d:66,Netgear
4063,60:45:cb:8c:d3:c0,ASUSTek Computer Inc
4064,34:21:09:1b:15:58,Jensen Scandinavia AS
4065,94:f6:65:0f:ab:58,Ruckus Wireless
4066,a0:40:a0:6b:f2:00,Netgear
4067,2c:30:33:29:b6:70,Netgear
4068,34:21:09:24:79:08,Jensen Scandinavia AS
4069,e4:6f:13:f9:43:44,D-Link International
4070,20:4e:7f:73:e8:40,Netgear
4071,10:7b:ef:c8:c1:18,Zyxel Communications Corp
4072,00:19:70:83:ed:48,"Z-Com, Inc"
4073,8c:dc:d4:99:01:50,Hewlett Packard
4074,00:25:9c:34:97:24,"Cisco-Linksys, Llc"
4075,e0:91:f5:70:ed:a0,Netgear
4076,80:37:73:f8:8e:00,Netgear
4077,54:04:a6:8f:dc:5a,ASUSTek Computer Inc
4078,a0:04:60:9f:dc:78,Netgear
4079,50:c7:bf:1e:4b:0e,"TP-Link Tech Co, Ltd"
4080,30:b5:c2:c2:b3:3c,"TP-Link Tech Co, Ltd"
4081,54:a0:50:e5:4a:21,ASUSTek Computer Inc
4085,60:45:cb:8c:d3:c0,ASUSTek Computer Inc
4086,e4:6f:13:f9:43:44,D-Link International
4087,00:25:9c:34:97:24,"Cisco-Linksys, Llc"
4088,80:37:73:f8:8e:00,Netgear
4089,a0:04:60:9f:dc:78,Netgear
4090,50:c7:bf:1e:4b:0e,"TP-Link Tech Co, Ltd"
4091,54:a0:50:e5:4a:21,ASUSTek Computer Inc
4092,e8:fc:af:fd:8f:2a,Netgear
4093,00:1c:df:7e:e0:23,Belkin International Inc
4094,c8:b3:73:42:e9:c9,"Cisco-Linksys, Llc"
4095,94:10:3e:8c:af:92,Belkin International Inc
4096,48:ee:0c:f2:43:27,D-Link International
4097,48:ee:0c:f2:43:25,D-Link International
4098,e0:46:9a:4e:67:79,Netgear
4099,54:a0:50:e5:4a:20,ASUSTek Computer Inc
4100,80:26:89:f8:d8:d6,D-Link International
4101,60:e3:27:b8:24:b7,"TP-Link Tech Co, Ltd"
4102,b4:75:0e:4a:5c:0c,Belkin International Inc
4103,40:4a:03:74:f2:29,Zyxel Communications Corp
4106,34:21:09:1b:15:58,Jensen Scandinavia AS
4107,a0:40:a0:6b:f2:00,Netgear
4108,e8:fc:af:fd:8f:2a,Netgear
4109,48:ee:0c:f2:43:25,D-Link International
4110,8c:dc:d4:99:01:40,Hewlett Packard
4111,08:60:6e:cb:aa:30,ASUSTek Computer Inc
4112,8c:dc:d4:99:01:50,Hewlett Packard
4113,00:1f:33:b9:3e:19,Netgear
4114,90:f6:52:54:dc:ba,"TP-Link Tech Co, Ltd"
4115,e8:fc:af:fd:8f:29,Netgear
4116,a0:04:60:9f:dc:7c,Netgear
4117,14:91:82:1a:f7:b4,Belkin International Inc
4118,28:c6:8e:3c:bf:90,Netgear
4119,00:26:f2:1d:4c:60,Netgear
4120,c8:d7:19:9a:64:cd,"Cisco-Linksys, Llc"
4121,54:b8:0a:0b:e9:0c,D-Link International
4122,40:9b:cd:75:f4:38,D-Link International
4123,fc:f5:28:d4:cc:b0,Zyxel Communications Corp
4124,94:10:3e:8c:af:93,Belkin International Inc
4125,c0:56:27:be:96:8e,Belkin International Inc
4126,a0:63:91:bd:e7:54,Netgear
4127,70:62:b8:63:fa:30,D-Link International
4128,38:4b:76:01:92:8f,Airtame ApS
4129,94:10:3e:8c:af:92,Belkin International Inc
4131,90:f6:52:54:dc:ba,"TP-Link Tech Co, Ltd"
4133,10:7b:ef:c8:c1:18,Zyxel Communications Corp
4134,54:04:a6:8f:dc:5a,ASUSTek Computer Inc
4135,3c:1e:04:e8:f6:1b,D-Link International
4136,20:4e:7f:22:ea:fc,Netgear
4137,b4:75:0e:4a:5c:0c,Belkin International Inc
4138,d0:17:c2:33:a5:28,ASUSTek Computer Inc
4139,50:c7:bf:52:22:1c,"TP-Link Tech Co, Ltd"
4140,00:1e:2a:52:61:b4,Netgear
4141,dc:ef:09:ff:dd:a6,Netgear
4142,c8:be:19:8f:39:da,D-Link International
4143,94:10:3e:a1:43:56,Belkin International Inc
4144,a0:04:60:9f:c7:c0,Netgear
4145,20:e5:2a:e5:79:48,Netgear
4146,9c:5c:8e:b8:1f:f8,ASUSTek Computer Inc
4149,94:10:3e:8c:af:92,Belkin International Inc
4150,10:62:eb:9c:6d:68,D-Link International
4151,14:91:82:1a:f7:b4,Belkin International Inc
4152,c8:d7:19:9a:64:cd,"Cisco-Linksys, Llc"
4153,c0:56:27:be:96:8e,Belkin International Inc
4154,54:04:a6:8f:dc:5a,ASUSTek Computer Inc
4155,50:c7:bf:52:22:1c,"TP-Link Tech Co, Ltd"
4156,dc:ef:09:ff:dd:a6,Netgear
4157,c0:56:27:be:96:8f,Belkin International Inc
4158,c4:e9:84:91:11:7f,"TP-Link Tech Co, Ltd"
4159,c0:56:27:be:a5:02,Belkin International Inc
4160,10:7b:ef:ff:08:07,Zyxel Communications Corp
4161,00:0e:2e:c2:81:e5,Edimax Tech Co Ltd
4162,c8:d7:19:9a:64:cc,"Cisco-Linksys, Llc"
4163,2c:56:dc:ce:4d:70,ASUSTek Computer Inc
4164,b0:b9:8a:4e:82:ca,Netgear
4165,a0:04:60:9f:c7:c4,Netgear
4166,18:a6:f7:bf:e5:38,"TP-Link Tech Co, Ltd"
4168,38:4b:76:01:92:8f,Airtame ApS
4172,dc:ef:09:ff:dd:a6,Netgear
4173,b0:b9:8a:4e:82:ca,Netgear
4175,9c:5c:8e:b8:1f:f8,ASUSTek Computer Inc
4176,00:1c:f0:ef:16:3c,D-Link Corp
4177,64:66:b3:54:e2:3d,"TP-Link Tech Co, Ltd"
4178,e8:37:7a:87:52:e9,Zyxel Communications Corp
4179,30:b5:c2:a2:fd:04,"TP-Link Tech Co, Ltd"
4180,10:62:eb:9c:6d:6a,D-Link International
4181,9c:5c:8e:b8:1f:fc,ASUSTek Computer Inc
4182,74:44:01:88:ad:02,Netgear
4183,d8:fe:e3:17:e4:4a,D-Link International
4184,b0:6e:bf:d7:d4:18,ASUSTek Computer Inc
4185,34:21:09:22:b1:f0,Jensen Scandinavia AS
4186,00:24:01:70:62:e9,D-Link Corp
4187,90:e6:ba:be:fd:db,ASUSTek Computer Inc
4190,40:4a:03:74:f2:29,Zyxel Communications Corp
4192,10:62:eb:9c:6d:68,D-Link International
4194,20:4e:7f:22:ea:fc,Netgear
4195,b4:75:0e:4a:5c:0c,Belkin International Inc
4196,2c:56:dc:ce:4d:70,ASUSTek Computer Inc
4197,18:a6:f7:bf:e5:38,"TP-Link Tech Co, Ltd"
4198,d8:fe:e3:17:e4:4a,D-Link International
4199,00:24:01:70:62:e9,D-Link Corp
4200,90:e6:ba:be:fd:db,ASUSTek Computer Inc
4201,48:ee:0c:f0:50:cb,D-Link International
4202,48:ee:0c:f0:50:cd,D-Link International
4203,30:5a:3a:4f:fb:88,ASUSTek Computer Inc
4204,00:19:70:33:b3:4b,"Z-Com, Inc"
4205,98:de:d0:d6:0a:b8,"TP-Link Tech Co, Ltd"
4206,30:b5:c2:a2:fd:05,"TP-Link Tech Co, Ltd"
4207,78:24:af:7b:e0:c8,ASUSTek Computer Inc
4208,34:21:09:28:95:2b,Jensen Scandinavia AS
4209,08:02:8e:99:e4:6e,Netgear
4210,a0:63:91:bd:e9:fa,Netgear
4211,a0:04:60:9f:c7:c0,Netgear
4212,64:70:02:ba:0e:6b,"TP-Link Tech Co, Ltd"
4213,08:02:8e:99:e2:cc,Netgear
4214,74:da:da:fb:d0:b8,D-Link International
4215,1c:5f:2b:0d:e3:84,D-Link International
4216,a0:d3:c1:a3:be:f0,Hewlett Packard
4217,00:23:f8:06:0c:13,Zyxel Communications Corp
4218,ac:9e:17:ea:da:a8,ASUSTek Computer Inc
4219,34:21:09:28:95:2c,Jensen Scandinavia AS
4220,60:e3:27:af:ac:39,"TP-Link Tech Co, Ltd"
4221,a0:63:91:78:2a:d2,Netgear
4222,90:e6:ba:be:fd:db,ASUSTek Computer Inc
4224,30:5a:3a:4f:fb:88,ASUSTek Computer Inc
4225,34:21:09:28:95:2b,Jensen Scandinavia AS
4226,08:02:8e:99:e4:6e,Netgear
4227,08:02:8e:99:e2:cc,Netgear
4228,70:62:b8:63:fa:30,D-Link International
4229,10:7b:ef:ff:08:07,Zyxel Communications Corp
4230,20:e5:2a:50:ba:78,Netgear
4231,a0:ab:1b:85:0a:88,D-Link International
4232,50:c7:bf:52:22:1b,"TP-Link Tech Co, Ltd"
4233,10:fe:ed:f5:12:00,"TP-Link Tech Co, Ltd"
4234,e8:94:f6:c7:a7:e8,"TP-Link Tech Co, Ltd"
4235,70:4f:57:8a:ae:47,"TP-Link Tech Co, Ltd"
4236,60:e3:27:af:fb:98,"TP-Link Tech Co, Ltd"
4237,e0:3f:49:07:e8:78,ASUSTek Computer Inc
4238,1c:5f:2b:10:e2:28,D-Link International
4240,50:c7:bf:52:22:1c,"TP-Link Tech Co, Ltd"
4241,74:da:da:fb:d0:b8,D-Link International
4242,10:7b:ef:ff:08:07,Zyxel Communications Corp
4243,a0:04:60:9f:c7:c4,Netgear
4244,60:e3:27:af:fb:98,"TP-Link Tech Co, Ltd"
4245,e0:3f:49:07:e8:78,ASUSTek Computer Inc
4247,94:10:3e:a1:43:56,Belkin International Inc
4248,b8:ec:a3:2e:4b:4c,Zyxel Communications Corp
4249,d0:17:c2:33:a5:28,ASUSTek Computer Inc
4250,ec:08:6b:e8:11:ca,"TP-Link Tech Co, Ltd"
4251,90:ef:68:ff:cf:78,Zyxel Communications Corp
4252,00:8e:f2:48:a3:9a,Netgear
4253,34:21:09:24:fa:f0,Jensen Scandinavia AS
4254,20:0c:c8:3b:e2:dc,Netgear
4255,e8:94:f6:c7:a7:e7,"TP-Link Tech Co, Ltd"
4256,50:46:5d:60:46:c0,ASUSTek Computer Inc
4257,00:26:f2:00:e6:1c,Netgear
4258,00:62:ec:2d:c4:07,"Cisco Systems, Inc"
4261,e8:94:f6:c7:a7:e8,"TP-Link Tech Co, Ltd"
4262,60:e3:27:af:fb:98,"TP-Link Tech Co, Ltd"
4263,34:21:09:24:fa:f0,Jensen Scandinavia AS
4264,60:e3:27:af:ac:39,"TP-Link Tech Co, Ltd"
4265,00:62:ec:2d:c4:07,"Cisco Systems, Inc"
4266,a0:04:60:9f:c7:c0,Netgear
4267,90:ef:68:ff:cf:79,Zyxel Communications Corp
4268,94:46:96:2b:d2:c3,BaudTec Corp
4269,64:66:b3:dd:32:8e,"TP-Link Tech Co, Ltd"
4270,88:1f:a1:35:e3:14,"Apple, Inc"
4271,b8:8d:12:62:e0:44,"Apple, Inc"
4272,60:e3:27:af:ac:38,"TP-Link Tech Co, Ltd"
4273,e0:3f:49:07:e8:7c,ASUSTek Computer Inc
4274,1c:5f:2b:66:2e:7d,D-Link International
4275,a0:d3:c1:a3:de:90,Hewlett Packard
4276,dc:ef:09:ff:db:76,Netgear
4277,70:62:b8:67:9d:e8,D-Link International
4278,00:1d:7e:30:24:41,"Cisco-Linksys, Llc"
4279,e0:3f:49:07:e8:78,ASUSTek Computer Inc
4280,d0:17:c2:33:a5:28,ASUSTek Computer Inc
4281,e0:3f:49:07:e8:7c,ASUSTek Computer Inc
4282,50:46:5d:60:46:c0,ASUSTek Computer Inc
4283,00:62:ec:2d:c4:0a,"Cisco Systems, Inc"
4284,28:37:37:43:f0:06,"Apple, Inc"
4285,00:62:ec:2d:c4:04,"Cisco Systems, Inc"
4286,00:62:ec:2d:c4:05,"Cisco Systems, Inc"
4287,00:62:ec:2d:c4:0b,"Cisco Systems, Inc"
4288,00:62:ec:2d:c4:0d,"Cisco Systems, Inc"
4289,00:62:ec:2d:c4:08,"Cisco Systems, Inc"
4290,20:4e:7f:77:ee:d7,Netgear
4291,9c:5c:8e:b8:1f:f8,ASUSTek Computer Inc
4292,b0:39:56:8b:ea:c8,Netgear
4293,00:62:ec:2d:c4:0f,"Cisco Systems, Inc"
4294,50:c7:bf:52:22:1c,"TP-Link Tech Co, Ltd"
4295,10:7b:ef:ff:08:07,Zyxel Communications Corp
4296,10:fe:ed:f5:12:00,"TP-Link Tech Co, Ltd"
4297,00:8e:f2:48:a3:9a,Netgear
4298,94:46:96:2b:d2:c3,BaudTec Corp
4299,b8:ec:a3:2e:4b:4c,Zyxel Communications Corp
4300,10:da:43:1c:a7:bf,Netgear
4301,a0:ab:1b:85:0e:cc,D-Link International
4302,34:21:09:22:b1:f0,Jensen Scandinavia AS
4303,e4:6f:13:f9:53:86,D-Link International
4304,00:26:f2:00:e6:1c,Netgear
4306,00:62:ec:2d:c4:00,"Cisco Systems, Inc"
4307,08:02:8e:99:e4:6e,Netgear
4308,08:02:8e:99:e2:cc,Netgear
4309,48:ee:0c:f0:50:cd,D-Link International
4310,34:21:09:28:95:2b,Jensen Scandinavia AS
4311,a0:63:91:bd:e9:fa,Netgear
4312,d8:fe:e3:17:e4:4a,D-Link International
4313,b0:6e:bf:d7:d4:18,ASUSTek Computer Inc
4314,20:e5:2a:50:bf:78,Netgear
4315,00:23:f8:02:08:f6,Zyxel Communications Corp
4316,c8:be:19:8f:26:1e,D-Link International
4317,34:21:09:28:95:2c,Jensen Scandinavia AS
4318,70:4f:57:8a:ae:47,"TP-Link Tech Co, Ltd"
4319,74:da:da:fb:d0:ba,D-Link International
4320,60:38:e0:7b:07:8e,Belkin International Inc
4322,90:e6:ba:be:fd:db,ASUSTek Computer Inc
4323,00:19:70:33:b3:4b,"Z-Com, Inc"
4324,10:62:eb:9c:6d:6a,D-Link International
4325,48:ee:0c:f0:50:cd,D-Link International
4326,18:a6:f7:bf:e5:38,"TP-Link Tech Co, Ltd"
4327,a0:63:91:bd:e9:fa,Netgear
4328,b0:6e:bf:d7:d4:18,ASUSTek Computer Inc
4329,dc:ef:09:ff:dd:a6,Netgear
4330,20:e5:2a:50:bf:78,Netgear
4331,00:23:f8:02:08:f6,Zyxel Communications Corp
4332,74:da:da:fb:d0:b8,D-Link International
4333,c8:be:19:8f:26:1e,D-Link International
4334,20:e5:2a:50:ba:78,Netgear
4335,70:4f:57:8a:ae:47,"TP-Link Tech Co, Ltd"
4337,70:62:b8:63:fa:32,D-Link International
4338,10:62:eb:97:ce:44,D-Link International
4339,a0:63:91:78:2a:d2,Netgear
4340,70:4f:57:8a:ae:46,"TP-Link Tech Co, Ltd"
4341,b4:75:0e:4a:5c:0d,Belkin International Inc
4342,e0:91:f5:cc:de:55,Netgear
4344,00:19:70:33:b3:4b,"Z-Com, Inc"
4345,18:a6:f7:bf:e5:38,"TP-Link Tech Co, Ltd"
4346,d8:fe:e3:17:e4:4a,D-Link International
4347,b0:6e:bf:d7:d4:18,ASUSTek Computer Inc
4348,20:e5:2a:50:bf:78,Netgear
4349,00:23:f8:02:08:f6,Zyxel Communications Corp
4350,48:ee:0c:f0:50:cb,D-Link International
4351,74:da:da:fb:d0:b8,D-Link International
4352,c8:be:19:8f:26:1e,D-Link International
4353,90:ef:68:ff:cf:78,Zyxel Communications Corp
4354,70:4f:57:8a:ae:47,"TP-Link Tech Co, Ltd"
4356,70:62:b8:63:fa:30,D-Link International
4357,10:62:eb:97:ce:44,D-Link International
4358,a0:63:91:78:2a:d2,Netgear
4359,e0:91:f5:cc:de:55,Netgear
4360,74:da:da:fb:d0:ba,D-Link International
4361,e0:91:f5:cc:de:53,Netgear
4362,ec:08:6b:e8:11:ca,"TP-Link Tech Co, Ltd"
4363,60:38:e0:7b:07:8e,Belkin International Inc
4364,60:38:e0:7b:07:8d,Belkin International Inc
4365,10:62:eb:97:ce:46,D-Link International
4366,50:c7:bf:23:41:82,"TP-Link Tech Co, Ltd"
4367,b0:39:56:8b:ea:c8,Netgear
4368,98:de:d0:95:45:e6,"TP-Link Tech Co, Ltd"
4369,c0:3f:0e:7d:42:5f,Netgear
4371,70:4f:57:8a:ae:47,"TP-Link Tech Co, Ltd"
4372,70:4f:57:8a:ae:46,"TP-Link Tech Co, Ltd"
4373,e0:91:f5:cc:de:53,Netgear
4374,a0:d3:c1:a3:be:f0,Hewlett Packard
4376,64:66:b3:54:e2:3d,"TP-Link Tech Co, Ltd"
4377,e8:37:7a:87:52:e9,Zyxel Communications Corp
4378,a0:04:60:03:e1:60,Netgear
4379,a0:d3:c1:a3:ba:b0,Hewlett Packard
4380,a0:d3:c1:a3:c8:10,Hewlett Packard
4381,a0:d3:c1:a3:be:e0,Hewlett Packard
4382,a0:d3:c1:a3:c8:00,Hewlett Packard
4383,a0:d3:c1:a3:ba:60,Hewlett Packard
4384,a0:d3:c1:ac:17:60,Hewlett Packard
4385,70:4f:57:45:5d:30,"TP-Link Tech Co, Ltd"
4386,18:d6:c7:90:e8:25,"TP-Link Tech Co, Ltd"
4387,a0:04:60:03:e1:58,Netgear
4388,80:26:89:4c:a0:15,D-Link International
4390,18:d6:c7:90:e8:25,"TP-Link Tech Co, Ltd"
4391,a0:04:60:03:e1:58,Netgear
